qid2_n,freq_qid2
30782,120
2559,115
4044,100
2561,71
17978,66
28764,59
14376,59
38,52
28133,52
18531,51
20190,49
1772,46
6275,46
24555,45
60274,44
4367,44
22064,43
30647,43
11264,42
6749,42
6100,42
2921,41
4507,41
7801,41
691,40
4416,40
18355,40
41885,40
12639,40
9262,40
10024,39
24723,39
2439,38
69550,38
10263,38
64454,38
21840,38
36847,38
20542,38
2675,37
17135,37
12852,37
9811,36
26053,36
11477,36
17854,36
4408,35
65693,35
10249,35
35933,35
2026,34
34942,34
8037,34
6481,34
25163,34
4018,33
18296,33
28430,33
12191,33
21693,33
8880,33
2986,32
24461,32
96722,32
32200,32
57257,32
3939,32
26054,32
5746,32
2509,32
54786,31
3576,31
8067,31
4052,31
32032,31
28280,31
18194,31
3062,31
20882,31
48722,30
13144,30
48346,30
30154,30
27517,30
11882,30
28291,30
23803,30
26187,30
37054,30
56332,30
4251,30
18753,30
21549,30
13216,29
6800,29
2323,29
29104,29
146,29
7530,29
33412,29
4893,28
24054,28
24387,28
50007,28
13324,28
35498,28
18022,28
29874,28
39651,28
18052,27
21996,27
32924,27
9597,27
3392,27
25039,27
23718,27
10382,27
9518,27
6313,27
19286,27
10330,27
54749,27
5123,26
3061,26
26186,26
14142,26
9837,26
24233,26
2920,26
4734,26
19789,26
51663,26
57,26
11011,26
2322,26
20868,26
60581,26
12719,26
23148,26
42016,25
60956,25
51836,25
39850,25
7343,25
30048,25
14966,25
59166,25
9662,25
23640,25
7060,25
10234,25
9874,25
82345,25
78084,25
15671,25
11709,25
46047,25
70278,25
30022,25
18759,25
4368,25
23231,25
28792,24
11001,24
14893,24
55585,24
69708,24
11397,24
24779,24
4407,24
50123,24
11510,24
24454,24
41576,24
49800,24
10694,24
10371,24
29504,24
12132,24
7311,24
82404,24
10563,24
67855,24
92977,24
4380,24
16524,24
25911,23
3877,23
1287,23
12131,23
36350,23
67593,23
30722,23
17057,23
4040,23
29413,23
60841,23
49266,23
23107,23
14767,23
19621,23
51786,23
18327,23
118125,23
32452,23
40230,23
8470,23
69108,23
5272,23
12851,23
52722,23
40624,23
20514,22
28798,22
2728,22
94552,22
17811,22
39243,22
32854,22
42549,22
1215,22
81520,22
1919,22
12018,22
7919,22
1886,22
65436,22
28647,22
16797,22
6317,22
52522,22
43413,22
7754,22
10562,22
9037,22
20607,22
1934,22
25231,22
29115,22
2581,22
14298,22
22008,22
20105,22
71756,22
46237,22
12441,22
27380,22
35414,21
69441,21
36356,21
9899,21
51785,21
13113,21
54116,21
148,21
1504,21
25959,21
4211,21
3938,21
30765,21
5450,21
77023,21
61147,21
46127,21
56779,21
25265,21
4122,21
48082,21
19195,21
7252,21
20672,21
46715,21
5241,21
28646,21
7526,21
11521,21
61020,21
88874,21
22652,21
38776,21
66440,21
14071,21
37921,21
11343,21
100854,21
6312,21
21554,21
2083,21
4506,21
7446,21
145,21
1127,21
5718,21
17177,21
9900,20
55435,20
1596,20
35010,20
27359,20
15432,20
18429,20
39445,20
14892,20
4208,20
17507,20
40432,20
34865,20
13748,20
27500,20
6721,20
21380,20
41669,20
23279,20
40173,20
18053,20
53324,20
42108,20
17812,20
52675,20
32160,20
32204,20
87961,20
36629,20
28713,20
24390,20
10567,20
59575,20
5340,20
27521,20
5215,20
98452,20
41039,20
34015,20
22099,20
11588,20
1933,20
1812,20
20175,20
42179,20
89640,19
21280,19
82022,19
107663,19
24613,19
41152,19
20152,19
547,19
56778,19
18738,19
1121,19
31167,19
2068,19
19563,19
78670,19
24793,19
17139,19
24778,19
489,19
30130,19
30640,19
6979,19
43379,19
16137,19
146730,19
78416,19
40405,19
10359,19
5518,19
27186,19
28132,19
49403,19
14158,19
59926,19
21232,19
99089,19
19981,19
37046,19
62975,19
36297,19
15344,19
33093,19
30026,19
52182,19
15309,19
12350,19
14362,19
10473,19
74254,19
28429,19
20342,19
71106,19
23977,19
4630,19
141304,19
23908,19
31199,19
12140,19
8154,18
56903,18
29716,18
12950,18
599,18
30218,18
96905,18
692,18
7918,18
27004,18
4415,18
8542,18
12717,18
57054,18
20864,18
39977,18
3505,18
18366,18
29775,18
5511,18
24896,18
47599,18
2374,18
7296,18
33272,18
10215,18
44331,18
30056,18
1780,18
3596,18
39774,18
57002,18
28603,18
113480,18
32801,18
62261,18
25330,18
53499,18
53167,18
83010,18
16341,18
101940,18
55923,18
53120,18
143975,18
7740,18
42649,18
46330,18
2985,18
29331,18
99661,18
21548,18
1183,18
24580,18
13939,18
23147,18
20027,18
18743,18
22185,18
18758,17
8387,17
31229,17
35003,17
22639,17
22729,17
18172,17
1718,17
13325,17
23986,17
27734,17
80694,17
42548,17
28038,17
13999,17
26639,17
9667,17
59113,17
32233,17
2934,17
24473,17
59242,17
31992,17
23222,17
99019,17
7476,17
64694,17
82169,17
24711,17
1063,17
66484,17
25760,17
27735,17
25023,17
48300,17
52674,17
129972,17
28922,17
571,17
10660,17
72431,17
37340,17
50006,17
39954,17
3261,17
9420,17
21951,17
25162,17
178,17
15767,17
20224,17
30621,17
6578,17
70506,17
29684,17
36120,17
52298,17
46832,17
30545,17
43097,17
5298,17
51681,17
3791,17
39426,17
36823,17
67387,17
7003,17
15954,17
3956,17
7166,17
7169,17
28942,17
30202,17
35364,17
18300,17
87924,17
96291,17
5715,17
4100,17
19732,17
5052,17
15140,17
63609,17
15843,17
17279,17
10834,17
6307,17
36797,16
53686,16
37617,16
13778,16
51586,16
110947,16
29359,16
75772,16
12591,16
57981,16
71014,16
10052,16
20472,16
78586,16
43724,16
60914,16
127922,16
3624,16
1348,16
27762,16
37339,16
9520,16
127004,16
16180,16
24395,16
7976,16
21797,16
29063,16
14810,16
206377,16
1449,16
39025,16
18187,16
26856,16
2962,16
33271,16
10943,16
2253,16
2718,16
33755,16
100416,16
32373,16
69707,16
14931,16
18244,16
22041,16
1101,16
79873,16
29665,16
21713,16
7325,16
16340,16
21739,16
4306,16
2605,16
2607,16
18160,16
47793,16
4352,16
69079,16
9005,16
6672,16
21807,16
9704,16
65964,16
1601,16
17616,16
23515,16
52700,16
144140,16
47297,16
21876,16
4478,16
14278,16
40354,16
52939,16
17159,16
68431,16
11877,16
28797,16
1441,15
17868,15
11996,15
17160,15
7842,15
30058,15
8367,15
9069,15
52345,15
13133,15
71931,15
48557,15
15245,15
72200,15
17122,15
83750,15
93145,15
9144,15
6937,15
26378,15
42620,15
29105,15
16932,15
38315,15
25815,15
26614,15
8829,15
51558,15
9421,15
29377,15
29393,15
4479,15
49344,15
38753,15
57817,15
2743,15
31393,15
12426,15
47392,15
18952,15
18954,15
12035,15
93650,15
1454,15
39796,15
41015,15
16254,15
95135,15
18588,15
49437,15
61676,15
42017,15
91539,15
16490,15
10322,15
64319,15
8476,15
21374,15
8916,15
32782,15
31700,15
7682,15
50069,15
71529,15
75665,15
3074,15
6729,15
41685,15
1241,15
68832,15
92545,15
69931,15
41716,15
36926,15
28248,15
15741,15
34780,15
5988,15
24216,15
3478,15
272073,15
68795,15
49864,15
34377,15
23588,15
490,15
101152,15
56726,15
43796,15
13749,15
23743,15
75917,15
63028,15
7165,15
20688,15
87477,15
17885,15
30564,15
9590,15
14805,15
13430,15
210735,15
72184,15
22509,15
63545,15
14318,15
8024,15
14490,15
116793,15
9827,15
86902,15
35448,15
14210,15
22153,15
24518,15
170295,15
5856,15
33981,15
64009,15
28174,14
17411,14
89700,14
44306,14
39940,14
42009,14
40212,14
72620,14
57562,14
82330,14
21483,14
29774,14
84700,14
23507,14
16519,14
7148,14
51281,14
54444,14
121775,14
30465,14
12304,14
23592,14
1841,14
32423,14
30091,14
42034,14
4447,14
59465,14
29712,14
61870,14
17711,14
35810,14
109342,14
17336,14
59325,14
99456,14
63377,14
40374,14
6804,14
17980,14
69862,14
42042,14
9740,14
26998,14
57300,14
53101,14
45314,14
110288,14
17100,14
9172,14
8083,14
49732,14
29357,14
91796,14
10009,14
5259,14
16520,14
15632,14
12718,14
137499,14
5780,14
62920,14
16463,14
58861,14
5314,14
50700,14
20398,14
38112,14
86296,14
6064,14
27891,14
73477,14
25033,14
77025,14
15784,14
92365,14
7949,14
9588,14
60701,14
133742,14
101994,14
48201,14
2996,14
130847,14
94881,14
49383,14
54772,14
1358,14
39685,14
55512,14
1179,14
10908,14
16686,14
36473,14
16773,14
42299,14
75783,14
5060,14
502,14
54063,14
13696,14
23976,14
38944,14
1894,14
32868,14
16065,14
18617,14
31173,13
51796,13
95783,13
2069,13
1942,13
27778,13
10410,13
43746,13
56942,13
31138,13
31460,13
9356,13
94029,13
29643,13
95350,13
42935,13
21153,13
9930,13
95901,13
29372,13
48753,13
6748,13
138400,13
65882,13
9753,13
2681,13
48630,13
44136,13
55347,13
79864,13
79898,13
5517,13
68802,13
107901,13
37170,13
6444,13
52551,13
12241,13
63050,13
29152,13
29683,13
66929,13
60895,13
67303,13
121010,13
75155,13
86764,13
5609,13
3664,13
16073,13
19725,13
21199,13
41568,13
23109,13
73153,13
14183,13
45413,13
22724,13
28037,13
66930,13
11708,13
7168,13
22373,13
36057,13
35360,13
3595,13
35449,13
80146,13
35932,13
6700,13
52744,13
67768,13
34897,13
86555,13
4476,13
180892,13
17761,13
2209,13
110747,13
18287,13
174,13
172,13
85566,13
49876,13
32317,13
160612,13
17126,13
17919,13
46957,13
62003,13
17662,13
7332,13
85817,13
4896,13
61477,13
61072,13
16173,13
16196,13
19532,13
80153,13
19329,13
19308,13
5359,13
38185,13
51661,13
28559,13
3795,13
74665,13
38062,13
3879,13
2580,13
845,13
23124,13
53743,13
33303,13
33422,13
24937,13
33552,13
8119,13
24523,13
14221,13
7839,13
1310,13
24254,13
13480,13
53744,13
58778,13
24131,13
25322,13
8462,13
33070,13
58035,13
102929,13
134638,13
12442,13
26303,13
966,13
14297,13
77743,13
17477,13
75894,13
42942,13
8997,13
66787,13
31712,13
63917,13
6201,13
13714,13
13690,13
34227,13
90061,13
23594,13
43471,13
13779,13
7551,13
13688,13
103456,13
23511,13
175714,12
106080,12
2765,12
38545,12
66956,12
102867,12
40802,12
62668,12
30038,12
6614,12
21214,12
74836,12
3153,12
3575,12
39300,12
54117,12
38094,12
10217,12
31221,12
192087,12
23230,12
8640,12
39686,12
10639,12
31765,12
9125,12
50784,12
31586,12
50270,12
8424,12
76566,12
39697,12
32504,12
48913,12
34901,12
171795,12
103826,12
5908,12
134957,12
34554,12
9733,12
4628,12
9752,12
99280,12
30696,12
15425,12
33361,12
5913,12
6063,12
101795,12
41706,12
137683,12
52348,12
3487,12
6194,12
3434,12
6319,12
43043,12
7891,12
21881,12
53632,12
3298,12
36390,12
36344,12
75256,12
30517,12
6551,12
6552,12
52113,12
75238,12
196640,12
75531,12
68959,12
8239,12
3704,12
54019,12
49515,12
33532,12
102346,12
8115,12
68833,12
5576,12
5730,12
67712,12
33900,12
37653,12
30021,12
